,Cor,Bias,MAE,MSE,RMSE
z,0.9523729081535749,-0.08492506317578133,0.2365689398705694,0.09066805209412726,0.30111136161581026
a,-0.09870000570205917,0.14265689279103802,0.8747357181017457,1.1493849347219283,1.0720937154567824
b,0.7873067173195971,0.4312508817562268,0.6332629052141399,0.6496436329191957,0.8060047350476272
z,0.9505415356762592,-0.09207346133671578,0.24946820347750667,0.0974124529304614,0.31210968093037644
a,0.6345119684720835,0.08164916597768193,0.3357745732795146,0.17887026905260628,0.4229305723787372
b,0.8166252859054822,0.16838042150425978,0.42570048816325373,0.4086740982181359,0.6392762299805428
z,0.9593441248547445,-0.1657140999265748,0.25701277677466927,0.10334212193038836,0.32146869510169784
a,-0.15664222915680864,-0.2653123166365968,1.0596002925780916,2.0170082558926556,1.4202141584608483
b,0.7187430519736548,0.24270289513456886,0.6793809918807001,0.7321647198356761,0.8556662432488944
z,0.957527877977194,-0.025504670662506185,0.2235056695266538,0.07676649843004624,0.2770676784290189
a,0.6108393374363228,0.03545890388850895,0.3517484815172478,0.1800893095826953,0.42436930801213146
b,0.7774957142453576,0.26520039995996225,0.5015436445974664,0.5226648843991867,0.722955658667381
