,Cor,Bias,MAE,MSE,RMSE
z,0.9691749006391549,-0.004926123710756436,0.2075950676010219,0.06569529660411541,0.25631093734781474
a,0.9592446502376738,0.0010400764256493142,0.12291958583850143,0.025608960317523705,0.16002799854251662
b,0.9734071296086182,-0.004119553199973617,0.12333328206871058,0.03992158318836614,0.1998038617954271
p,0.9754278173835327,-0.002085347750791842,0.044618504241035375,0.003577273947073123,0.0598103163933541
z,0.9696682751603068,0.065389887479658,0.1942969352674816,0.06288422472019096,0.2507672720276531
a,0.9693048608961292,-0.0011392331345436415,0.1059849437297112,0.01935131594243543,0.1391090074094249
b,0.9701440285486784,0.03495431005302378,0.13387649591747472,0.04562163848603568,0.2135922247789832
p,0.978629936849873,0.0048895032037310025,0.04030395948765929,0.0030141813428846754,0.05490156047768292
z,0.9701040457042632,0.07338835826289164,0.1996520714632938,0.06416202463404728,0.2533022396941
a,0.9560432779623739,0.00048489450843226844,0.13100769349679156,0.027454488770007716,0.1656939611754385
b,0.9695124424795956,-0.008232773908004413,0.13077548622605178,0.04701213615651673,0.21682282203798736
p,0.9758048193343621,0.01455802550397042,0.04475056424074706,0.0036138770447864,0.06011553081181601
z,0.9704548662651341,0.08663336601626383,0.20355888934956945,0.0666509330469151,0.2581684199256662
a,0.9658709476981807,-0.014801686295889228,0.11685450695956505,0.021738689149528007,0.1474404596761961
b,0.9704855523723147,0.05761196380449643,0.14287136883736815,0.04759086910833425,0.2181533156024319
p,0.9782237814677849,0.003820909522900847,0.04169088263731623,0.0031812251897935925,0.05640235092435059
